,DEPTH,GR,Rt,RHOB,NPHI,Porosity_Density,Vshale,Porosity_Gaymard,Effective_Porosity,Formation_Factor,Rt_Ashale,Ro,Ish,Sw
26,2109.25,24.254,137.657,2393.824,0.0965,0.18489824561403503,0.02715662650602411,0.14747815301112913,0.1434731438920076,40.00698574793014,174.02811628206157,40.00698574793014,4.349943216880951,0.4612708459285563
27,2109.375,24.875999999999998,127.62799999999999,2383.0820000000003,0.10077,0.19118011695906414,0.03465060240963853,0.15281431546239613,0.14751920737480756,37.947897298814404,169.74247154645107,37.947897298814404,4.473040237508872,0.45454561355011625
28,2109.5,24.863000000000003,117.353,2385.242,0.09471,0.18991695906432737,0.03449397590361449,0.15006404539436055,0.14488773982852857,39.26810000430916,152.38888407085008,39.26810000430916,3.880729754027503,0.4898302238085836
29,2109.625,24.519000000000002,107.344,2403.284,0.08213,0.17936608187134498,0.030349397590361468,0.13949467413825883,0.1352610948110989,44.74777989545262,132.24542008616118,44.74777989545262,2.955351536883739,0.5653416408998801
30,2109.75,24.199,97.92399999999999,2434.874,0.07047,0.16089239766081884,0.026493975903614478,0.12420222325918136,0.12091161254897727,55.374622030988085,115.58231839398051,55.374622030988085,2.08727959044668,0.6788904042908444
31,2109.875,24.766,89.01,2466.252,0.06414,0.14254269005847955,0.03332530120481925,0.11052682499987902,0.10684348526554571,70.04525357705012,108.11328659751696,70.04525357705012,1.5434776958668843,0.7957731566048825
32,2110.0,27.276999999999997,80.943,2488.667,0.06337000000000001,0.12943450292397665,0.06357831325301201,0.1019044833340931,0.09542556817079179,86.82343553736156,116.38602205862743,86.82343553736156,1.3404908633055024,0.8570753841084442
33,2110.125,32.084,74.00399999999999,2500.6910000000003,0.06806,0.12240292397660804,0.12149397590361449,0.09903191252829385,0.08700013173389247,103.4932846174712,153.03619534508238,103.4932846174712,1.4787065258459058,0.813932568480556
34,2110.25,37.676,68.291,2512.3289999999997,0.07512,0.11559707602339198,0.1888674698795181,0.09748255840189532,0.07907127423914699,124.09789036977219,237.09250472935253,124.09789036977219,1.9105280841027383,0.7112536573548611
35,2110.375,41.458,63.595,2522.619,0.08157,0.10957953216374261,0.23443373493975903,0.0965953900795082,0.07395017200520614,140.9339232828213,326.3256128474331,140.9339232828213,2.3154511365767787,0.6428157595388034
